frame,id,raw_x,raw_y,comp_x,comp_y,dx,dy,dist
26,5,519,647,231,667,288,-20,288.69
26,6,690,497,417,498,273,-1,273.00
26,7,660,624,387,640,273,-16,273.47
26,8,1511,849,1343,879,168,-30,170.66
26,11,796,500,535,500,261,0,261.00
26,12,1145,473,924,466,221,7,221.11
26,13,1228,495,1017,490,211,5,211.06
26,14,1625,534,1461,528,164,6,164.11
26,16,836,854,591,893,245,-39,248.08
26,17,177,491,-154,498,331,-7,331.07
26,9,1587,602,1420,604,167,-2,167.01
27,1,1164,614,944,623,220,-9,220.18
27,2,1465,716,1283,732,182,-16,182.70
27,3,1022,793,792,823,230,-30,231.95
27,4,1247,623,1037,632,210,-9,210.19
27,5,520,646,227,666,293,-20,293.68
27,6,692,495,414,496,278,-1,278.00
27,7,663,624,386,640,277,-16,277.46
27,8,1515,850,1343,881,172,-31,174.77
27,11,799,498,534,498,265,0,265.00
27,12,1146,473,920,466,226,7,226.11
27,13,1230,494,1014,488,216,6,216.08
27,14,1626,534,1457,528,169,6,169.11
27,16,838,854,588,893,250,-39,253.02
27,17,179,491,-157,498,336,-7,336.07
27,9,1589,601,1418,603,171,-2,171.01
28,1,1165,612,941,620,224,-8,224.14
28,2,1469,716,1283,732,186,-16,186.69
28,3,1023,792,788,822,235,-30,236.91
28,4,1249,622,1035,631,214,-9,214.19
28,5,520,644,222,664,298,-20,298.67
28,6,694,495,411,496,283,-1,283.00
28,7,662,624,380,640,282,-16,282.45
28,8,1520,851,1344,882,176,-31,178.71
28,11,801,497,531,497,270,0,270.00
28,12,1148,473,917,466,231,7,231.11
28,13,1231,492,1011,486,220,6,220.08
28,14,1626,533,1453,527,173,6,173.10
28,16,841,854,587,893,254,-39,256.98
28,17,181,491,-160,498,341,-7,341.07
28,9,1590,600,1415,602,175,-2,175.01
29,1,1166,612,937,621,229,-9,229.18
29,2,1474,716,1284,732,190,-16,190.67
29,3,1026,792,787,822,239,-30,240.88
29,4,1251,622,1032,631,219,-9,219.18
29,5,520,643,217,663,303,-20,303.66
29,6,697,494,410,495,287,-1,287.00
29,7,662,624,375,640,287,-16,287.45
29,8,1524,851,1344,882,180,-31,182.65
29,11,804,497,529,497,275,0,275.00
29,12,1148,472,912,465,236,7,236.10
29,13,1232,492,1007,486,225,6,225.08
29,14,1627,532,1449,526,178,6,178.10
29,16,844,853,585,893,259,-40,262.07
29,17,183,490,-163,497,346,-7,346.07
29,9,1588,599,1408,601,180,-2,180.01
30,1,1167,612,934,621,233,-9,233.17
30,2,1478,716,1284,732,194,-16,194.66
30,3,1029,793,785,824,244,-31,245.96
30,4,1253,620,1030,628,223,-8,223.14
30,5,520,641,212,661,308,-20,308.65
30,6,700,493,408,494,292,-1,292.00
30,7,662,622,370,638,292,-16,292.44
30,8,1529,851,1346,882,183,-31,185.61
30,11,806,497,527,498,279,-1,279.00
30,12,1149,472,909,465,240,7,240.10
30,13,1233,490,1003,484,230,6,230.08
30,14,1629,530,1447,524,182,6,182.10
30,16,847,854,584,894,263,-40,266.02
30,17,184,491,-167,499,351,-8,351.09
30,9,1589,600,1404,602,185,-2,185.01
31,1,1169,612,932,621,237,-9,237.17
31,2,1482,715,1285,731,197,-16,197.65
31,3,1031,792,784,823,247,-31,248.94
31,4,1253,619,1026,627,227,-8,227.14
31,5,522,640,210,660,312,-20,312.64
31,6,702,492,406,493,296,-1,296.00
31,7,662,620,366,636,296,-16,296.43
31,8,1532,851,1345,882,187,-31,189.55
31,11,809,496,526,496,283,0,283.00
31,12,1149,473,905,466,244,7,244.10
31,13,1232,490,998,484,234,6,234.08
31,14,1630,528,1444,521,186,7,186.13
31,16,849,853,583,893,266,-40,268.99
31,17,186,491,-169,499,355,-8,355.09
31,9,1590,600,1402,602,188,-2,188.01
32,1,1169,612,928,621,241,-9,241.17
32,2,1486,715,1286,731,200,-16,200.64
32,3,1034,792,783,823,251,-31,252.91
32,4,1253,618,1022,626,231,-8,231.14
32,5,523,640,207,661,316,-21,316.70
32,6,705,491,405,492,300,-1,300.00
32,7,664,619,364,635,300,-16,300.43
32,8,1537,852,1347,883,190,-31,192.51
32,11,811,494,524,494,287,0,287.00
32,13,1232,490,994,484,238,6,238.08
32,14,1632,526,1442,519,190,7,190.13
32,16,850,853,580,893,270,-40,272.95
32,17,187,492,-172,501,359,-9,359.11
32,9,1591,600,1399,602,192,-2,192.01
33,1,1171,611,926,620,245,-9,245.17
33,2,1490,713,1286,729,204,-16,204.63
33,3,1037,791,783,822,254,-31,255.88
33,4,1255,617,1020,625,235,-8,235.14
33,5,523,640,203,661,320,-21,320.69
33,6,706,490,402,492,304,-2,304.01
33,7,665,615,361,631,304,-16,304.42
33,8,1541,853,1348,884,193,-31,195.47
33,11,814,494,523,495,291,-1,291.00
33,13,1231,491,989,485,242,6,242.07
33,14,1633,525,1439,518,194,7,194.13
33,16,853,854,579,895,274,-41,277.05
33,17,188,492,-175,501,363,-9,363.11
33,9,1591,599,1395,601,196,-2,196.01
34,1,1172,609,923,618,249,-9,249.16
34,2,1493,713,1286,729,207,-16,207.62
34,3,1039,791,781,822,258,-31,259.86
34,4,1255,617,1016,625,239,-8,239.13
34,5,525,641,202,662,323,-21,323.68
34,6,708,491,401,493,307,-2,307.01
34,7,666,612,358,628,308,-16,308.42
34,8,1544,854,1348,885,196,-31,198.44
34,11,816,493,522,494,294,-1,294.00
34,13,1230,491,984,486,246,5,246.05
34,14,1633,525,1436,518,197,7,197.12
34,16,855,854,578,895,277,-41,280.02
34,17,191,492,-176,501,367,-9,367.11
34,9,1592,599,1392,601,200,-2,200.01
35,1,1173,608,921,617,252,-9,252.16
35,2,1497,713,1287,729,210,-16,210.61
35,3,1040,791,779,822,261,-31,262.83
35,4,1254,617,1012,626,242,-9,242.17
35,5,525,641,198,663,327,-22,327.74
35,6,710,491,399,493,311,-2,311.01
35,7,667,610,355,626,312,-16,312.41
35,8,1548,855,1349,886,199,-31,201.40
35,11,817,491,519,491,298,0,298.00
35,13,1229,490,979,485,250,5,250.05
35,16,858,853,578,894,280,-41,282.99
35,17,193,493,-178,503,371,-10,371.13
35,9,1593,598,1390,600,203,-2,203.01
36,1,1173,606,917,615,256,-9,256.16
36,2,1501,713,1288,729,213,-16,213.60
36,3,1041,790,776,821,265,-31,266.81
36,4,1254,616,1008,625,246,-9,246.16
36,5,526,641,195,663,331,-22,331.73
36,6,712,491,398,493,314,-2,314.01
36,7,667,611,352,627,315,-16,315.41
36,8,1552,855,1350,887,202,-32,204.52
36,11,819,490,517,490,302,0,302.00
36,13,1229,488,975,482,254,6,254.07
36,16,860,853,576,894,284,-41,286.94
36,17,196,493,-178,503,374,-10,374.13
36,9,1594,597,1387,599,207,-2,207.01
37,1,1173,605,914,614,259,-9,259.16
37,2,1504,712,1288,728,216,-16,216.59
37,3,1042,790,774,822,268,-32,269.90
37,4,1253,615,1004,624,249,-9,249.16
37,5,527,641,193,663,334,-22,334.72
37,6,713,491,395,493,318,-2,318.01
37,7,668,610,350,627,318,-17,318.45
37,8,1555,855,1350,887,205,-32,207.48
37,11,822,489,517,490,305,-1,305.00
37,13,1228,487,971,481,257,6,257.07
37,16,861,852,574,893,287,-41,289.91
37,17,198,492,-179,502,377,-10,377.13
37,9,1595,596,1385,598,210,-2,210.01
38,1,1173,604,911,613,262,-9,262.15
38,2,1507,711,1288,727,219,-16,219.58
38,3,1043,790,772,822,271,-32,272.88
38,4,1253,615,1001,624,252,-9,252.16
38,5,527,641,190,663,337,-22,337.72
38,6,714,491,393,494,321,-3,321.01
38,7,669,610,348,627,321,-17,321.45
38,8,1558,857,1351,889,207,-32,209.46
38,11,824,487,516,487,308,0,308.00
38,13,1228,486,968,480,260,6,260.07
38,16,862,851,572,892,290,-41,292.88
38,17,198,491,-183,501,381,-10,381.13
38,9,1595,594,1382,595,213,-1,213.00
39,1,1173,602,908,611,265,-9,265.15
39,2,1509,711,1287,727,222,-16,222.58
39,3,1044,789,770,821,274,-32,275.86
39,4,1254,614,999,623,255,-9,255.16
39,5,528,641,188,664,340,-23,340.78
39,6,716,489,392,491,324,-2,324.01
39,7,669,610,344,627,325,-17,325.44
39,8,1562,858,1352,890,210,-32,212.42
39,11,825,487,514,488,311,-1,311.00
39,13,1227,485,964,479,263,6,263.07
39,16,863,851,570,893,293,-42,295.99
39,17,198,489,-186,499,384,-10,384.13
39,9,1596,593,1380,594,216,-1,216.00
40,1,1171,602,903,611,268,-9,268.15
40,2,1511,710,1287,726,224,-16,224.57
40,3,1044,789,768,821,276,-32,277.85
40,4,1254,613,996,622,258,-9,258.16
40,5,527,640,184,663,343,-23,343.77
40,6,718,489,392,491,326,-2,326.01
40,7,670,609,343,626,327,-17,327.44
40,8,1566,858,1354,890,212,-32,214.40
40,11,826,487,512,488,314,-1,314.00
